"Trait","mLL","piX","h2X","iX","conv"
"Snoring",-1166617.78124064,0.000580118838316792,0.0597115167572064,1.11998350376769,0
"AD",-802238.839131812,-1.6272330569799e-06,0.0704475720905563,1.07204202117578,0
