"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",0.000580118838316792,1.6272330569799e-06,0.0548985014409126,0.0584709691044387,0.0689569674524787,0.164261001040361,-0.120123878817867,-0.00208350008511052,0.00365832207082646,1.11998350376769,1.07204202117578
"SE-JK",NA,NA,0.00487309008055124,0.0345541259058465,0.0263716233124152,0.0530602920496484,0.274489220996709,0.023796073782385,0.0235888096322453,NA,NA
"Pval",NA,NA,1.93927360174986e-29,0.0906162464793366,0.00892752885926971,0.00196320769870514,0.661656736370714,0.930229205668428,0.876752585256995,NA,NA
