"mLL","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","start_ind","end_ind"
-3444869.8363164,0.0577777474282123,0.0226526840936677,0.0506658986801974,-0.039651374096553,-0.00973883508089953,0.135523450620701,0.00864010917267765,0,1,2298
-3445538.20018309,0.0576888600292514,0.022697626217748,0.0502847548722225,-0.0350953226393052,-0.012398106156471,0.125284217895252,0.00831411896803837,0,2299,4596
-3445815.73840827,0.0575265529249699,0.0224389515618625,0.0493712964127139,-0.0390224360095978,-0.0123399971787575,0.13851407312709,0.00776717965632419,0,4597,6894
-3445766.79923718,0.057171618082804,0.0227181195647386,0.0495715963707812,-0.0388997015277617,-0.00646159124292257,0.13733969137211,0.00754839891782819,0,6895,9192
-3445605.30309094,0.0578661913030734,0.0226613648637325,0.0495671504327505,-0.041476665355267,-0.00821346467438373,0.135720724784959,0.00781260033880969,0,9193,11490
-3445145.28524959,0.0579145453156224,0.0227599528786442,0.049861844236473,-0.0399457421254279,-0.00820529366610821,0.138797816244762,0.0077755698649728,0,11491,13788
-3445678.84354419,0.0577125160192135,0.0229020834245101,0.0499490172675469,-0.0384158605115685,-0.0123010906017383,0.134803137781823,0.00859641179957268,0,13789,16086
-3445346.72145695,0.0580767257044864,0.0226860013843968,0.0471872600971681,-0.0393698157058539,-0.0134901202606342,0.137996972757409,0.00836531571265088,0,16087,18384
-3445466.27173249,0.0579630100138947,0.0227067089133827,0.0508498315188946,-0.0392883198191954,-0.00887967248359367,0.133334631334519,0.00816761748179747,0,18385,20682
-3445512.41920356,0.0578413770389515,0.0227610826724424,0.0504189945826155,-0.0383213587034862,-0.0107265283120899,0.137869091140622,0.00869992172556742,0,20683,22980
-3445403.64937463,0.0577854941722936,0.0227635747811981,0.0512470748365719,-0.0407166368720198,-0.00989860104336429,0.137474094004577,0.00868841465353383,0,22981,25278
-3445894.46626828,0.0582355634154683,0.0228942707425713,0.0491919232891036,-0.0392596897750207,-0.00907308877166358,0.136402248589831,0.00801213095596084,0,25279,27576
-3445673.52452389,0.0576660690687014,0.022348785493068,0.0493656275684261,-0.0377283502916997,-0.011254733256373,0.142413628862005,0.00733587424571959,0,27577,29874
-3445505.11852868,0.0575754742037859,0.0227388842780929,0.0527557059840565,-0.0392390605965303,-0.00777949967262702,0.131537728704704,0.00923916942620125,0,29875,32172
-3445290.93396123,0.0577164898481583,0.022749565510877,0.0511554330479089,-0.0371486971795438,-0.0134215372427468,0.143085963896129,0.00842061212905406,0,32173,34470
-3445095.74361814,0.0579077615834713,0.0227488985341794,0.0518036800150925,-0.0378759726178088,-0.00986906236434934,0.133193134974343,0.00823851814346053,0,34471,36768
-3444909.28608384,0.0577089171573595,0.0226439380473458,0.051409023985312,-0.0390611619033052,-0.0103631831589504,0.138306277529328,0.00837451250854227,0,36769,39066
-3445432.27211167,0.0577728660940833,0.0227509140098018,0.0497722084400229,-0.0372128034685383,-0.0133604321555875,0.137541474273944,0.00917789097258284,0,39067,41364
-3445594.20523086,0.0580422920875464,0.0226761380541471,0.0497421770168303,-0.0391262916984819,-0.0110752413418531,0.134856768851993,0.00864319846688179,0,41365,43662
-3445708.60473651,0.0577698383634884,0.0225372204810568,0.0512725615153125,-0.0385743568705742,-0.0107951643494351,0.145722949461916,0.00782363520889218,0,43663,45960
-3445569.66254263,0.0577822392522978,0.022775136747307,0.0486957415082108,-0.0400463653257281,-0.0127272020626007,0.136668774762465,0.0087268330398102,0,45961,48258
-3445694.63863404,0.0577402351496676,0.0227445127769304,0.0482824490375543,-0.0392384016549899,-0.0159644496962899,0.138226312681822,0.00935135850965258,0,48259,50556
-3446088.40957206,0.057550758630586,0.022841724399247,0.0522544548139799,-0.0368396148309255,-0.0111293793349563,0.133531905405347,0.00840290048787174,0,50557,52854
-3445676.12013698,0.0580184762622177,0.0227086672122152,0.0497442023698572,-0.0368574455026362,-0.01167257833128,0.135830624123525,0.00839550693327871,0,52855,55152
