"","h2X","h2Y","tX","tY","axy","ayx","iXY"
"h2X",1.19331693131492e-07,-1.88815697722638e-07,-4.07092823516042e-07,1.20674669579555e-07,7.24554467223008e-07,1.79443852367941e-07,9.39559718142514e-10
"h2Y",-1.88815697722638e-07,5.99993777445774e-06,8.49191997321651e-07,-6.38231817049695e-07,2.04633470728613e-06,-1.0552334830255e-06,-3.53757850974146e-07
"tX",-4.07092823516042e-07,8.49191997321651e-07,3.49478651322574e-06,3.03808201365416e-06,-1.69873212979055e-05,-9.72705536654773e-07,6.48457676178895e-07
"tY",1.20674669579555e-07,-6.38231817049695e-07,3.03808201365416e-06,1.41477115195677e-05,-4.96022352340526e-05,-5.56172408120389e-07,3.03053449337564e-06
"axy",7.24554467223008e-07,2.04633470728613e-06,-1.69873212979055e-05,-4.96022352340526e-05,0.000378614735896383,-7.64433353651998e-06,-3.00915158118077e-05
"ayx",1.79443852367941e-07,-1.0552334830255e-06,-9.72705536654773e-07,-5.56172408120389e-07,-7.64433353651998e-06,2.84549310279755e-06,1.01906517559487e-06
"iXY",9.39559718142514e-10,-3.53757850974146e-07,6.48457676178895e-07,3.03053449337564e-06,-3.00915158118077e-05,1.01906517559487e-06,2.79614040133824e-06
