"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0577583351106706,0.0577774857095236,0.000304150062539777,0.00429056463044751,9.25072605429506e-08,1336.31141785664,-2668.62283571327,TRUE,0.05740299,0.05778984,0.0008210677,0.0001680652,0.08144085,0.91855915,1399.837,-2791.674,-0.461584209524625,0.644379520369222,0.0493488284349935,0.0661678417863477,"FALSE"
"h2Y",0.0226888457664767,0.0227208886790175,0.000161724377215731,0.00228140309085821,2.61547741858161e-08,1462.63695692661,-2921.27391385323,TRUE,0.02247116,0.02273191,0.0002503978,8.683561e-05,0.1651512,0.8348488,1510.127,-3012.254,-0.983860826226467,0.32518394708388,0.0182172957083946,0.0271603958245588,"FALSE"
"tX",0.0507356438338245,0.0509302223037784,0.00225476758526658,0.0318074110208644,5.08397686356888e-06,935.655223089386,-1867.31044617877,TRUE,0.04869188,0.05078569,0.010334603,0.001569177,0.0239018,0.9760982,986.1455,-1964.291,-0.200306056206709,0.841241226364048,-0.0116068817670698,0.113078169434719,"FALSE"
"tY",-0.0387065348137889,-0.0389203659281083,0.00157979691062071,0.0222857779196182,2.49575827880673e-06,1006.80534309877,-2009.61068619754,TRUE,-0.03894694,-0.03810316,0.0007879236,0.002578488,0.7150853,0.2849147,1036.77,-2065.54,-0.312953078428921,0.754316310718558,-0.0823866595362405,0.00497358990866263,"FALSE"
"axy",-0.0105198317804403,-0.0105161039924076,0.00354409978567054,0.0499956799620448,1.256064329079e-05,845.20776562304,-1686.41553124608,TRUE,-0.009528389,-0.01064765,0.009111116,0.00180665,0.1141982,0.8858018,908.3017,-1808.6034,0.120499519699286,0.904087460098062,-0.108511364506048,0.0874717009451675,"FALSE"
"ayx",0.135457727320856,0.135732396674869,0.00561565974608315,0.0792186293896326,3.15356343837787e-05,753.152787664964,-1502.30557532993,TRUE,0.1326992,0.1359684,0.012803819,0.002273331,0.156209,0.843791,834.3807,-1660.7614,-0.251398232260059,0.801506234283885,-0.0198107862828239,0.290726240924536,"FALSE"
"iXY",0.00834043177000829,0.00834048163876093,0.000805277792274793,0.0113598412059087,6.48472322730965e-07,1141.57819884186,-2279.15639768371,TRUE,0.008829251,0.008326261,0.0030431343,0.0006231764,0.02817237,0.97182763,1171.303,-2334.606,0.161926472762657,0.871363755672316,-0.0139248569935728,0.0306057205335894,"FALSE"
