"","h2X","h2Y","tX","tY","axy","ayx","iXY"
"h2X",9.25072605429506e-08,1.84774473452071e-08,-3.89114750618047e-07,1.20980505326527e-07,-2.59655782595937e-07,-9.3710677782203e-08,-2.03120957951964e-08
"h2Y",1.84774473452071e-08,2.61547741858161e-08,-2.62875130213353e-08,-4.96863719079212e-09,4.30886391498054e-08,1.07855137516086e-07,-2.29619637612976e-08
"tX",-3.89114750618047e-07,-2.62875130213353e-08,5.08397686356888e-06,-1.42381551142282e-06,2.92074981336577e-06,4.10886870416419e-06,-1.94600485221859e-08
"tY",1.20980505326527e-07,-4.96863719079212e-09,-1.42381551142282e-06,2.49575827880673e-06,-3.29257719143723e-06,-1.48023040409731e-06,2.13168640973719e-07
"axy",-2.59655782595937e-07,4.30886391498054e-08,2.92074981336577e-06,-3.29257719143723e-06,1.256064329079e-05,-2.16837762149618e-06,-1.6626925542899e-06
"ayx",-9.3710677782203e-08,1.07855137516086e-07,4.10886870416419e-06,-1.48023040409731e-06,-2.16837762149618e-06,3.15356343837787e-05,-1.42874773756658e-06
"iXY",-2.03120957951964e-08,-2.29619637612976e-08,-1.94600485221859e-08,2.13168640973719e-07,-1.6626925542899e-06,-1.42874773756658e-06,6.48472322730965e-07
