"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",0.000621827223898034,8.10355234951257e-05,0.0577571712922837,0.0227951774916247,0.0488576967056325,-0.0359395907336789,-0.0134654419787534,0.128003824831491,0.0089532250163015,1.1109065042541,1.07675654976508
"SE-JK",NA,NA,0.00429056463044751,0.00228140309085821,0.0318074110208644,0.0222857779196182,0.0499956799620448,0.0792186293896326,0.0113598412059087,NA,NA
"Pval",NA,NA,2.63731839268545e-41,1.65654739355e-23,0.12452671148283,0.106816365380916,0.78767412453048,0.106131109171112,0.430610713336293,NA,NA
