"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0548145633586547,0.054840712413046,0.000345444196841533,0.00487309008055124,1.19331693131492e-07,1310.84943594306,-2617.69887188613,TRUE,0.05462415,0.05483308,0.0010051204,0.0001677826,0.08864275,0.91135725,1389.995,-2771.99,-0.205028718121352,0.837549687797339,0.0452633068007743,0.0643658199165351,"FALSE"
"h2Y",0.0581758217448686,0.0585701537916352,0.00244947704101462,0.0345541259058465,5.99993777445774e-06,919.089693512791,-1834.17938702558,TRUE,0.05440768,0.05852978,0.0067809567,0.0008674152,0.08586867,0.91413133,1053.655,-2099.31,-0.602980204846288,0.546521857970188,-0.00955026503059048,0.125901908520328,"FALSE"
"tX",0.0682127299509843,0.0683454203819812,0.00186943481117308,0.0263716233124152,3.49478651322574e-06,973.137374304171,-1942.27474860834,TRUE,0.06117109,0.0684155,0.006012573,0.001033202,0.02798926,0.97201074,1063.8,-2119.6,-1.18747193003885,0.235041522252802,0.0165243482586505,0.119901111643318,"FALSE"
"tY",0.164666309884668,0.16509577459987,0.0037613443766249,0.0530602920496484,1.41477115195677e-05,833.309315243482,-1662.61863048696,TRUE,0.1650731,0.1465861,0.001344518,0.015006992,0.97799866,0.02200134,1011.318,-2014.636,1.22697789021058,0.219830901072818,0.0606681374673568,0.268664482301979,"FALSE"
"axy",-0.11763420069978,-0.118944753581194,0.0194580249741947,0.274489220996709,0.000378614735896383,504.61268732889,-1005.22537465778,TRUE,-0.1189822,-0.07600881,0.004147944,0.098435587,0.96863176,0.03136824,771.294,-1534.588,-0.436176476729612,0.662708693606478,-0.65563307385333,0.42036467245377,"FALSE"
"ayx",0.00440284951016106,0.00434390434540177,0.00168685894573244,0.023796073782385,2.84549310279755e-06,993.69096582186,-1983.38193164372,TRUE,0.004335853,0.008423581,0.001172194,0.008593651,0.98361064,0.01638936,1049.194,-2090.388,-0.471304133596949,0.637423564225534,-0.0422374551033136,0.0510431541236357,"FALSE"
"iXY",0.00262853920841633,0.00275133919387344,0.00167216637968183,0.0235888096322453,2.79614040133824e-06,995.440599519674,-1986.88119903935,TRUE,-0.001492744,0.002714513,0.010158387,0.000570796,0.02043441,0.97956559,1182.478,-2356.956,-0.413513577850814,0.679230376582013,-0.0436055276707845,0.0488626060876172,"FALSE"
