"Trait","mLL","piX","h2X","iX","conv"
"SnoringBMIadj",-1173998.28838213,-0.000568708747905072,0.0545870358038316,1.09780216246198,0
"AD",-801267.004975183,1.54178238710894e-05,0.0531371311894267,1.03997133625807,0
