"","h2X","h2Y","tX","tY","axy","ayx","iXY"
"h2X",1.01689371395256e-07,-2.14500814065547e-08,-2.95911851249247e-07,3.52433204365022e-07,-9.59852072278373e-07,1.68535044152833e-08,1.59853234259547e-07
"h2Y",-2.14500814065547e-08,6.27586647924587e-06,5.43947318413067e-07,6.05363645240648e-07,-2.27158410826263e-06,-2.24189665327857e-06,1.51469680830763e-08
"tX",-2.95911851249247e-07,5.43947318413067e-07,2.43097165755545e-06,5.82290990835702e-07,-1.27099809310202e-06,-9.5879853879092e-07,-6.0304804330846e-07
"tY",3.52433204365022e-07,6.05363645240648e-07,5.82290990835702e-07,9.13789701257975e-06,-1.25297624927385e-05,-1.49442972269508e-06,3.89787887416172e-07
"axy",-9.59852072278373e-07,-2.27158410826263e-06,-1.27099809310202e-06,-1.25297624927385e-05,0.000132359707264593,2.10515700820518e-06,-1.25616228142066e-05
"ayx",1.68535044152833e-08,-2.24189665327857e-06,-9.5879853879092e-07,-1.49442972269508e-06,2.10515700820518e-06,3.85309715822164e-06,-4.00195576689781e-08
"iXY",1.59853234259547e-07,1.51469680830763e-08,-6.0304804330846e-07,3.89787887416172e-07,-1.25616228142066e-05,-4.00195576689781e-08,1.62225688843075e-06
