"mLL","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","start_ind","end_ind"
-3057246.41860692,0.0540214969534901,0.0458056516517331,0.016873573684157,0.14729489207311,0.171031228236865,0.0223885363452046,-0.011613197196329,0,1,2333
-3057402.34676604,0.0539401075522765,0.0452235604801072,0.0181798421889278,0.151215174447898,0.155995146015675,0.0197846928003345,-0.0100994329862357,0,2334,4666
-3058234.65023199,0.0531906324781638,0.0452551337922414,0.0195051584427809,0.149307696013954,0.169982533989975,0.0235378067086116,-0.0112917209164796,0,4667,6999
-3058048.96980595,0.053179411608441,0.0454229299957496,0.0229695860881656,0.144579772487317,0.182773655384957,0.0124366910708655,-0.0124596358891736,0,7000,9332
-3058141.50541826,0.0538853688015883,0.0462049978061098,0.0156104536832608,0.150279502339059,0.162146012994973,0.0230647977003628,-0.0108839789195726,0,9333,11665
-3057682.29626211,0.0539589182584338,0.0458066927224934,0.0167251214674338,0.151671050010542,0.15857635518189,0.0219845312958796,-0.0105922344690401,0,11666,13998
-3058034.84527797,0.0540735261633297,0.045998351908676,0.0159189857302393,0.147624385034893,0.170861828125187,0.022502599860141,-0.0109234992542395,0,13999,16331
-3057575.43591055,0.0539410980309915,0.0456912251731714,0.0165606047625821,0.149828258225026,0.169200149404956,0.0227770062792457,-0.0115192848999874,0,16332,18664
-3057551.75415362,0.0542740654950549,0.0459137339121014,0.0162272277769336,0.151977846776058,0.162097705806232,0.0223008058014212,-0.0104415278614784,0,18665,20997
-3057639.47212674,0.0541758413145202,0.045648922911818,0.0137755217950038,0.151810852890476,0.165130665720171,0.0216891101329187,-0.00991883082871466,0,20998,23330
-3057755.12266515,0.0541247740700874,0.0457020102859524,0.016939206444038,0.152310848963051,0.169409220919633,0.0194545067007619,-0.0105210787544372,0,23331,25663
-3058311.94738217,0.0540330060616083,0.04496182932378,0.0199917818615177,0.148341754284471,0.170770144891619,0.0258752623806124,-0.0122534901690606,0,25664,27996
-3057858.75354969,0.0537310375309413,0.0447060683304111,0.0167150348309948,0.148981809461709,0.16137247159814,0.0245598475422427,-0.0107536361839656,0,27997,30329
-3058042.17480208,0.053911462649111,0.0458424172174692,0.0157655879831428,0.151435533429135,0.167988527567739,0.0213415223278165,-0.0100045556361367,0,30330,32662
-3057119.05172404,0.0541454485951486,0.0457523801357877,0.0173212208663603,0.149493330550198,0.161805431303125,0.0224039207833351,-0.0102197790412796,0,32663,34995
-3057366.99941044,0.0539805604180784,0.0453118455772542,0.0180725644175917,0.148239194786425,0.158772036867609,0.0268587410138365,-0.0112304496691281,0,34996,37328
-3056830.38174889,0.0541131445944695,0.0456380210399151,0.0179606717816063,0.1521520538136,0.164493433618592,0.0209049674158474,-0.010853428043488,0,37329,39661
-3057665.85231292,0.0538274401000136,0.0457634279500282,0.0161942826747844,0.151964366466777,0.165832587594905,0.0214093507845788,-0.0100436911990252,0,39662,41994
-3057916.15876188,0.0540830671757343,0.0456367714665752,0.0168469641331962,0.148250145891866,0.173823458999184,0.0225937999202075,-0.0108648138293918,0,41995,44327
-3057903.07409493,0.0541527965713882,0.045459997050443,0.0171727413304475,0.149874606475986,0.167815548623352,0.0200366935112617,-0.010765075200413,0,44328,46660
-3057871.96652142,0.0538312707428089,0.0459300621698076,0.016880670124835,0.150742318232542,0.178600402998396,0.0165660180355002,-0.0108848597766361,0,46661,48993
-3058163.59477959,0.0540680696876151,0.0460305568102947,0.00790300721984878,0.147159040573399,0.220368428420845,0.0165259389030373,-0.0128673435951336,0,48994,51326
-3057824.77900687,0.0539733829093926,0.0456998008324077,0.01743038732536,0.151439353459284,0.158445503079793,0.0224895955226479,-0.00989389750469717,0,51327,53659
-3057747.0958652,0.0542027586189028,0.0458394083137044,0.0164181110824413,0.147705441057333,0.173236316559671,0.0232257092442978,-0.0122251406474742,0,53660,55992
