"Trait","mLL","piX","h2X","iX","conv"
"Snoring",-1166436.50058657,-0.000579054488800772,-0.0596664096867028,1.12042647539105,0
"AD",-802238.855026558,1.57847200572695e-06,0.0731339728664547,1.07218973764169,0
