"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0547957092714195,0.0548275050666718,0.00031888770969615,0.00449846472784393,1.01689371395256e-07,1326.84785241554,-2649.69570483109,TRUE,0.0545162,0.05482759,0.0008087347,0.0001679234,0.1023756,0.8976244,1390.712,-2773.424,-0.376992632392149,0.706179080167038,0.0459787184048454,0.0636127001379936,"FALSE"
"h2Y",0.060059065106847,0.0603259538332673,0.00250516795429885,0.0353397429160135,6.27586647924587e-06,914.593447355142,-1825.18689471028,TRUE,0.05463446,0.06040255,0.0077325166,0.0009341565,0.05954868,0.94045132,1055.193,-2102.386,-0.740567851712714,0.458955506483031,-0.00920683100853947,0.129324961222234,"FALSE"
"tX",0.0679463760918753,0.0680652202029535,0.00155915735496949,0.0219946211573087,2.43097165755545e-06,1009.4354996872,-2014.87099937441,TRUE,0.06804547,0.0659188,0.001087001,0.004839646,0.95340413,0.04659587,1049.586,-2091.172,0.428745425937025,0.668108498456218,0.0248369186235502,0.1110558335602,"FALSE"
"tY",0.164582204738951,0.164898836696546,0.00302289546835145,0.0426431882661624,9.13789701257975e-06,877.021576053731,-1750.04315210746,TRUE,0.1576109,0.1649428,0.010346576,0.001175209,0.04918289,0.95081711,1018.11,-2028.22,-0.704103161959469,0.481368531139549,0.0810015557372726,0.248162853740629,"FALSE"
"axy",-0.11577488980102,-0.11512522488873,0.0115047688922722,0.162294737270356,0.000132359707264593,609.712276198818,-1215.42455239764,TRUE,-0.1155706,-0.1170639,0.005050062,0.028279759,0.8631804,0.1368196,685.5383,-1363.0766,0.05198222352704,0.958542857832072,-0.433872574850918,0.202322795248879,"FALSE"
"ayx",0.00573954077132217,0.00545176735192388,0.00196293075736809,0.0276905459405572,3.85309715822164e-06,963.376875179968,-1922.75375035994,TRUE,0.00535172,0.008867169,0.001280533,0.00324548,0.8896821,0.1103179,996.4217,-1984.8434,-1.00758961347526,0.313651517240431,-0.0485339292721699,0.0600130108148142,"FALSE"
"iXY",0.00241233274438239,0.00236559216148854,0.00127367848707229,0.017967446140109,1.62225688843075e-06,1049.88277126481,-2095.76554252963,TRUE,0.002403971,0.002507541,0.0005613095,0.004049196,0.91926574,0.08073426,1149.169,-2290.338,-0.0253356482684617,0.979787239843653,-0.0328038616902313,0.0376285271789961,"FALSE"
