"","h2X","h2Y","tX","tY","axy","ayx","iXY"
"h2X",1.26359594918088e-07,-9.8300885154159e-08,-8.17802896205227e-07,9.80374475668203e-07,1.27431239429038e-06,-6.36356613786723e-08,2.20177020679566e-08
"h2Y",-9.8300885154159e-08,7.31509026820508e-07,7.97475149807341e-07,-2.00898093876933e-06,3.66297388197103e-06,-2.49410512717907e-07,-4.35534119315264e-07
"tX",-8.17802896205227e-07,7.97475149807341e-07,1.38074258090013e-05,-5.26438749173614e-06,-2.97092099517678e-05,1.92289060856693e-07,-4.94771137016881e-07
"tY",9.80374475668203e-07,-2.00898093876933e-06,-5.26438749173614e-06,3.55426013079497e-05,-8.15085341153668e-05,9.97370091062745e-06,6.27954715189596e-06
"axy",1.27431239429038e-06,3.66297388197103e-06,-2.97092099517678e-05,-8.15085341153668e-05,0.000469265304154727,-5.3122285590582e-05,-2.68499091395587e-05
"ayx",-6.36356613786723e-08,-2.49410512717907e-07,1.92289060856693e-07,9.97370091062745e-06,-5.3122285590582e-05,1.51270284544028e-05,2.97344498058469e-06
"iXY",2.20177020679566e-08,-4.35534119315264e-07,-4.94771137016881e-07,6.27954715189596e-06,-2.68499091395587e-05,2.97344498058469e-06,2.20066604413173e-06
