"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",0.000579054488800772,1.57847200572695e-06,0.0547397765772513,0.0607508898047578,0.0683653748820258,0.164224360225997,-0.114999176774589,0.00541287330902315,0.00242213046286256,1.12042647539105,1.07218973764169
"SE-JK",NA,NA,0.00449846472784393,0.0353397429160135,0.0219946211573087,0.0426431882661624,0.162294737270356,0.0276905459405572,0.017967446140109,NA,NA
"Pval",NA,NA,4.5715125457026e-34,0.0856047283304111,0.00188181606435565,0.000117575204337715,0.478583728925845,0.845019302536607,0.892764781355942,NA,NA
