"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0540133605318184,0.0540447223089432,0.0003554709480648,0.00501453481279166,1.26359594918088e-07,1305.12695422083,-2606.25390844166,TRUE,0.05347256,0.05405072,0.0010758336,0.0001812692,0.0646168,0.9353832,1388.94,-2769.88,-0.529936849829541,0.596155715773842,0.0441848722987467,0.06384184876489,"FALSE"
"h2Y",0.0455519692129177,0.0456694593282819,0.00085528300978127,0.0120652516068784,7.31509026820508e-07,1129.52917518255,-2255.0583503651,TRUE,0.04474067,0.04568804,0.0019912159,0.0002367073,0.1436276,0.8563724,1272.163,-2536.326,-0.472448148970797,0.636606943573253,0.021904076063436,0.0691998623623993,"FALSE"
"tX",0.016565393555097,0.0167399323387457,0.0037158344700755,0.0524182958134968,1.38074258090013e-05,835.743948383879,-1667.48789676776,TRUE,0.01675116,0.01559411,0.001383001,0.008628131,0.8394465,0.1605535,926.3697,-1844.7394,0.132411815961765,0.894658569182916,-0.0861744662393567,0.119305253349551,"FALSE"
"tY",0.150001986217636,0.150578861428411,0.00596176159435697,0.0841009967853057,3.55426013079497e-05,741.191401952213,-1478.38280390443,TRUE,0.1262007,0.1504978,0.031348742,0.001892462,0.02040704,0.97959296,944.0582,-1880.1164,-0.773649790571451,0.439137919369587,-0.0148359674815627,0.314839939916835,"FALSE"
"axy",0.168001978614332,0.165855851576886,0.0216625322655207,0.305587623320695,0.000469265304154727,483.147774436861,-962.295548873722,TRUE,0.1849558,0.1653205,0.05427501,0.00471111,0.1365662,0.8634338,663.1133,-1318.2266,0.360419014552439,0.718533809235597,-0.430949763094229,0.766953720322894,"FALSE"
"ayx",0.021290825748827,0.0216496155617338,0.00388934807575805,0.0548660064377403,1.51270284544028e-05,826.616292576608,-1649.23258515322,TRUE,0.01866983,0.02177823,0.008410354,0.001783709,0.1568009,0.8431991,891.6624,-1775.3248,-0.361550223954927,0.717688167101828,-0.0862465468691441,0.128828198366798,"FALSE"
"iXY",-0.0109583048301249,-0.0108612014717142,0.00148346420385924,0.0209268378591276,2.20066604413173e-06,1019.38859715003,-2034.77719430006,TRUE,-0.01254731,-0.01087023,0.0057790488,0.0005587108,0.05251738,0.94748262,1162.112,-2316.224,-0.288853224441815,0.772693700029029,-0.0519749070340149,0.0300582973737651,"FALSE"
