"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",0.000568708747905072,1.54178238710894e-05,0.0540446175061362,0.0455890866373193,0.0177257679033405,0.151027100155341,0.157102913038792,0.0214947009684428,-0.0104527237381023,1.09780216246198,1.03997133625807
"SE-JK",NA,NA,0.00501453481279166,0.0120652516068784,0.0524182958134968,0.0841009967853057,0.305587623320695,0.0548660064377403,0.0209268378591276,NA,NA
"Pval",NA,NA,4.39226690000616e-27,0.00015774784788798,0.735242660680554,0.0725291114070906,0.607181354737793,0.695230242379999,0.617434987255898,NA,NA
