id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval
mTP4v5,bg2TZk,SnoringBMIadj,AD,8.903786165081002e-4,4.1586637959197946e-4,0.04111947809590831
mTP4v5,jbpcgr,Snoring,AD,0.0010072360542992282,3.585509907676433e-4,0.008954659043930129
TW76wp,bg2TZk,SnoringBMIadj,BMI,0.0024898382567576788,7.480876885965447e-4,0.001441995228108151
TW76wp,jbpcgr,Snoring,BMI,0.0025908608503813642,6.976362399792073e-4,4.351299689888761e-4
