id.exposure,exposure,id.outcome,outcome,nsnp,b,se,pval
mTP4v5,AD,jbpcgr,Snoring,19,0.0021778182315959163,0.004346922801483025,0.6163695187799687
TW76wp,BMI,jbpcgr,Snoring,67,0.051462501334285586,0.009315221154829465,3.3031170820688245e-8
