exposure,outcome,pve,k,samplesize,f
AD,Snoring,0.04390583489282271,30,94437,105.2426480247236
AD,SnoringBMIadj,0.04390583489282271,30,94437,105.2426480247236
BMI,Snoring,0.0066923501990915815,68,681275,67.06645030496679
BMI,SnoringBMIadj,0.0066923501990915815,68,681275,67.06645030496679
