exposure,outcome,pve,k,samplesize,f
SAsnoring,AD,0,29,1477352,NA
Snoring,AD,0.00310167415486565,31,408317,40.85790008792802
SnoringBMIadj,AD,0.0025663156690389145,26,408317,40.306802968468624
